RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
394458,"Charlotte, NC",23,156700,153400,149700,148400,148e3,149100,149900,15e4,148200,148600,148e3,150600,149600,149100,145400,145700,147400,15e4,150200,150400,148900,147500,150400,152e3,152e3,147500,145800,146900,148900,150900,150900,150500,150400,152e3,157400,157700,153700,147100,145e3,151700,152600,155900,148500,148700,142200,146300,147300,152600,153400,153700,156100,159900,160800,161200,157600,156e3,152900,154800,157300,161e3,161700,162700,163700,163300,164500,165400,167e3,167100,166500,168500,169500,168900,168700,168700,169700,169400,170500,172e3,172700,171200,169300,170800,173800,178200,178700,181e3,181200,181600,179300,179200,180300,181300,182e3,181800,184400,184900,185e3,184300,185e3,188e3,188200,191200,190500,191e3,189300,187800,188e3,184700,186700,187200,189400,191500,195100,196400,195300,194300,196e3,198700,203200,209e3,212600,217500,220600,222400,217300,216400,214200,215100,
395045,"Sacramento, CA",24,285200,273800,255200,241500,231300,228300,223200,217600,209700,202200,196e3,190300,187100,185700,185700,188100,193200,197600,201e3,203600,206600,207700,207100,203700,204100,203800,203700,201600,201600,201200,202100,198500,200700,198100,196e3,188800,182900,180300,175400,174700,173600,176e3,177400,176100,178900,179e3,180300,179700,180500,183300,183800,185400,189700,195e3,203600,207800,214800,217700,223600,229300,238100,244100,248700,252600,259900,263700,266600,266100,269e3,270800,273500,277800,279900,282e3,282200,284200,285800,286800,289100,291e3,290700,293700,293800,302600,302900,307400,303900,305e3,305700,305600,305800,305600,309900,314100,320500,323100,326100,325900,327600,329400,331e3,332700,333600,337100,343100,343500,345200,342700,344200,346600,348e3,351900,355500,359600,364e3,366700,372700,374800,378600,382700,387800,392800,390500,391600,391e3,391500,393100,389900,395400
395055,"San Antonio, TX",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175e3,175e3,175400,175600,176700,176600,178100,178800,181100,180100,181800,182e3,184200,185500,185900,186e3,183800,185200,183800,185500,186e3,185900,188400,189200,192500,190900,190700,192e3,193600,193400,192400,191900,191600,192100,191100,192300,192400,194700,195700,197300,200200,202600,206400,208200,208100,205e3,204300,206200,207700,209800,208600,209200,205300,205600,
394943,"Orlando, FL",26,220500,214900,206e3,203100,199500,197e3,195100,187400,179200,165200,160800,155500,148600,137700,127400,122400,119400,121600,121800,122400,119200,119200,114400,114400,109200,109500,108300,110700,109800,105200,101300,99900,99700,97300,95500,91800,94700,97500,103200,103600,104200,106300,108300,110100,111200,112400,113700,113300,113900,112600,114700,116600,119400,120900,122400,124400,123400,123600,125500,129900,133e3,135800,137300,139400,141100,146400,150400,151300,149500,148400,15e4,151600,152800,154700,156200,157500,158e3,158700,159600,16e4,157100,155600,155200,160400,166200,169600,173100,173900,176900,177600,182300,184400,186400,186400,192100,194200,196100,193900,195600,199400,201800,205900,205700,207900,204700,206400,208700,214200,215500,215300,213800,215200,215700,218300,220400,222600,222500,225200,232200,239400,238100,233100,23e4,229600,228800,229500,231e3,234800,233600
394466,"Cincinnati, OH",27,135100,13e4,124500,124900,123200,123100,121100,121300,119100,114200,110900,110200,110400,112800,112800,115200,114700,116500,118500,122200,124200,124800,123900,124e3,124300,122800,121200,119400,118100,117500,118500,119100,117800,118100,120400,122600,117900,111400,108e3,109100,113400,115400,116100,114600,114800,115900,117600,115500,113300,112e3,114200,117100,118300,118500,118600,120300,120200,120100,122200,123400,124800,123100,125e3,124700,126500,126300,127500,126100,127600,128e3,128500,128500,128700,130100,130200,133e3,134300,136300,134900,134300,133100,133500,133500,135500,135300,134700,134300,135e3,136100,136500,136600,137900,136600,142900,144900,152900,150300,151300,146900,146700,145500,145300,146200,148700,150400,150400,153800,154300,154600,151600,149600,15e4,150200,151600,151800,151900,154300,155900,160200,165e3,166100,164400,159600,157400,156e3,158300,160400,164700,
394475,"Cleveland, OH",28,111100,109500,107300,105500,104e3,103300,100300,96400,86300,81e3,76100,77400,75200,81200,87e3,95300,98100,101900,105e3,109200,111800,109700,108200,107800,109600,108400,108800,108800,106400,103600,101400,105900,110600,114500,108700,100600,92600,91100,91400,96400,98800,100900,98500,97200,93500,94200,93900,94300,93e3,95600,99100,99800,101500,103600,106700,106700,104600,106100,105600,106100,103300,101200,101500,104100,108300,110100,110400,109600,110700,109800,110600,108200,111400,113400,116800,116300,117e3,118900,117900,117800,116700,119300,119700,115400,113600,110800,114600,115100,117200,116700,117e3,115600,113600,113500,112700,116100,112700,116400,116200,121100,119900,120900,120800,122200,123300,123700,125800,127e3,127700,127200,126700,125600,124100,122400,123100,126800,130900,132200,133900,136800,137800,136500,132900,132500,131e3,132e3,134100,133900,
394735,"Kansas City, MO",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158500,159700,160500,160200,163100,164600,167e3,167500,167500,162700,158900,157200,159700,161200,162100,161100,158800,158200,160800,163700,168800,170600,172400,170100,170400,168800,169400,167900,168900,167800,167e3,164e3,159300,159300,160800,167300,168900,169700,169200,171100,173900,175300,175100,176200,195700,198300,199300,182400,182900,184400,184900,187100,185200,188e3,191500,200800,221700,225400,221500,204200,198500,197300,193600,194600,,
394775,"Las Vegas, NV",30,247500,242e3,234300,227800,218400,207800,195400,187700,178e3,170100,161600,155400,148500,138400,130400,125900,124400,121700,120200,121600,123700,124700,125100,125100,125e3,125700,127700,13e4,127800,126200,122700,122200,120700,119400,118500,117800,115700,114e3,112e3,112100,110500,108100,106500,107700,109600,110400,110900,110600,111300,113100,115900,120400,122300,124400,125400,129100,133e3,136800,139600,142100,145400,149e3,152400,158e3,161400,164300,163900,165100,166700,169e3,170100,172500,174300,175700,175400,169100,169e3,171600,18e4,182e3,182300,183400,185e3,190900,190800,192300,188400,189200,190700,192400,194500,194200,195300,195900,200500,205e3,206100,203900,201900,203200,204300,204300,203900,206300,208800,210700,213300,215900,220100,221e3,223500,228800,232400,232900,232600,235600,238200,241800,245600,252e3,259e3,261700,264200,265200,264400,264400,264200,,
394492,"Columbus, OH",31,139700,135300,136200,136300,135200,133e3,131100,128900,125400,122e3,125800,125200,123900,119600,120700,123700,127600,131600,134400,135700,136300,132800,131e3,132500,134500,133700,130400,131100,126500,123900,119500,122100,122700,131400,135500,130600,121300,116e3,117500,119600,121900,126500,124500,121300,122100,126100,128600,121600,117700,119100,126600,131900,136e3,136400,136300,132500,132300,132800,136900,135600,133700,130300,133200,138700,144300,146200,145e3,142700,157100,158100,160900,148200,150800,151600,151500,152500,152600,154800,154200,154300,154500,156700,156900,165800,164400,164600,160400,161800,162900,159700,158600,155500,153400,149900,154200,157500,162500,161700,161300,160100,161e3,160800,163600,164700,167900,167300,172600,172200,173e3,169900,170700,171400,171900,171800,172500,173500,175800,179800,185100,186700,184400,178400,175300,178100,180800,184900,182300,182300,
394705,"Indianapolis, IN",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129100,128400,134200,139900,144500,144900,144400,144400,145100,146600,149400,152200,155600,153300,150800,147100,147800,131600,121500,109100,115200,116200,121300,124200,127500,134800,139500,143700,139900,140300,139500,141800,141700,144400,147200,148500,147200,146300,143500,144700,142e3,143400,144900,146400,147200,145700,145400,147800,149500,151600,153500,153400,155100,156900,161200,162100,163700,163100,164100,162500,163800,164300,164800,164100,163600,165700,166300,169800,171400,173700,172700,172600,173700,176100,179400,
